blockNumber;timeStamp;hash;nonce;blockHash;from;contractAddress;to;value;tokenName;tokenSymbol;tokenDecimal;transactionIndex;gas;gasPrice;gasUsed;cumulativeGasUsed;input;confirmations
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x742d35cc6634c0532925a3b844bc454e4438f44e;0.000764267914722;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x90f86774e792e91cf81b2ff9f341efca649343a6;0.000594130258805996;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x89d91e5e8c03189e56afb24d62ea5802a41ab5a48d63ebd082e0fd04d4bd7e4e;2;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xa8712bebb27e804fc631d168bcd68a1760441836;0.000572879581841647;Gala;GALA;8;27;400000;97853846207;326574;3742975;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xf0bc8fddb1f358cef470d63f96ae65b1d7914953;0.000539735652710658;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xd6e0f7da4480b3ad7a2c8b31bc5a19325355ca15;0.00053;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xf60c2ea62edbfe808163751dd0d8693dcb30019c;0.000409127686709505;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x48ec5560bfd59b95859965cce48cc244cfdf6b0c;0.000380157048330406;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x6297f7efa107ef33bd0d287d1d4410dd40b3bd96;0.000349907378947368;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xb1dece9c597ad8d6c2ea4b575125aa445cf8ea8d;0.00028283090462411;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x58b704065b7aff3ed351052f8560019e05925023;0.000277154046125951;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x8928e75dcb834ac8b49734a57f7b23165bd15642;0.000239347123079887;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xd7efcbb86efdd9e8de014dafa5944aae36e817e4;0.000204926938828856;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0x1ba0fa412c25d031e77c253e7372e0db5d9862910cc858018fceb7d493fbc97c;3;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x6c73b1ca08bbc3f44340603b1fb9e331c2abaca7;0.000199980231481759;Gala;GALA;8;28;400000;97853846207;326526;4069501;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x67e022256e5de118994476a621d709d658b65f04;0.000135599070811076;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xd84b4436b6aba0fa348c5cf35b4682448e94724a;0.000112492322423314;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xf32fc9dde9280e99125b555fe79571adf3a8e162;0.000102685594048275;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x3ab28ecedea6cdb6feed398e93ae8c7b316b1182;9.8060034433849e-05;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xb7580490a51d3f48d451ba5f2dd79a835d266015;6.0336504100687e-05;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x55a9bcb4ae35df7f7f11b30a930fd1aa2579cf86;5.3236510956633e-05;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x618ffd1cdabee36ce5992a857cc7463f21272bd7;2.7708672779003e-05;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x87ab96b004b362730d895391dde48b433609505a;2.6322567123088e-05;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xe83a48cae4d7120e8ba1c2e0409568ffba532e87;2.3713515255619e-05;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0xbb9049d0de6810d804003bce793eb481b79202df93a30b952552c5f8829e16e3;4;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xc9f5296eb3ac266c94568d790b6e91eba7d76a11;1.0745652978147e-05;Gala;GALA;8;29;400000;97853846207;326466;4395967;deprecated;6594
17268227;2023-05-15 22:47:28;0x63ab3da36832511b61db8bbabf8841f17e86e29b55b8a2e4f79ed5158cd268c9;5;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x2864de013415b6c2c7a96333183b20f0f9cc7532;9.059881659602e-06;Gala;GALA;8;30;400000;97853846207;326418;4722385;deprecated;6594
17268227;2023-05-15 22:47:28;0x63ab3da36832511b61db8bbabf8841f17e86e29b55b8a2e4f79ed5158cd268c9;5;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xf2067abfab8bc621211935431519d41825d2f344;8.076959378166e-06;Gala;GALA;8;30;400000;97853846207;326418;4722385;deprecated;6594
17268227;2023-05-15 22:47:28;0x63ab3da36832511b61db8bbabf8841f17e86e29b55b8a2e4f79ed5158cd268c9;5;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x4f5ef8711d1d361f88639206b6144922079268b9;3.356092579341e-06;Gala;GALA;8;30;400000;97853846207;326418;4722385;deprecated;6594
