blockNumber;timeStamp;hash;nonce;blockHash;from;contractAddress;to;value;tokenName;tokenSymbol;tokenDecimal;transactionIndex;gas;gasPrice;gasUsed;cumulativeGasUsed;input;confirmations
17275797;2023-05-17 00:25:23;0x57fead3d656a5773510f2aa4e540bd3fa1e750498fa98d5727912c84a6706924;1896;0xb30fdfed031a134bbc3b867c7c8e82e8e7cf65375e7bdd120c1f38869f1eca3c;0x0c365789dbbb94a29f8720dc465554c587e897db;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;206.05997617513148;Axie Infinity Shard;AXS;18;0;144212;608013732755;137345;137345;deprecated;9768
17275797;2023-05-17 00:25:23;0xa98756a0bf99c5b851a483879a726051b0b19a0fac02ab5dc3dce6b0292043f3;855;0xb30fdfed031a134bbc3b867c7c8e82e8e7cf65375e7bdd120c1f38869f1eca3c;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xb3f7b16349364589d1615f2ca9f29f67a1878e70;418.77370894054906;Axie Infinity Shard;AXS;18;2;264526;318159094564;122456;301267;deprecated;9768
17275798;2023-05-17 00:25:35;0x6fc64bdd144581b3d0bb46e077e48eb59339d50ec522c6580e2de67886763df3;8505;0x988de12f150f4cbea386663513843a66b84fbc0d44afc19bd06fe7281f17eefc;0x0c365789dbbb94a29f8720dc465554c587e897db;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;62.41148049097082;Axie Infinity Shard;AXS;18;7;170651;66093169109;137651;803030;deprecated;9767
17275800;2023-05-17 00:25:59;0x204f6afbff802006bdaac6ed42da865766ebf800fc8ec9eac2c36e6f8f14f2e6;1272;0x74ed31a73a1a46d13520e3f80578a30c7fa9d6b6229d3fbf270a1a5758d54eef;0x4c5a14dcf6cdb8b8ed5bdda408914e2962f6c230;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x0ee6fe441809434cc8b08d197467d2194c75856d;1932.0231707364885;Axie Infinity Shard;AXS;18;160;77461;39189737511;46841;11833940;deprecated;9765
17275801;2023-05-17 00:26:11;0xe129502711331dde37b0364b98c83be95321b646b36d775f1d271f0384c64b41;56;0x8a4caee2bcfe0e5d4d1cad8c3ad057ccca3229d6cb07b5c6a3eff05b9807417a;0xf1c3508668bd7196c6af444a42e5aafe4c0e21d0;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x1a20c03abc748bde9c563504c372297dd5c5ce8f;818.4298788413228;Axie Infinity Shard;AXS;18;79;77461;39862564731;46841;5378321;deprecated;9764
17275802;2023-05-17 00:26:23;0x6a8d14f0e2ceb694c1002a5a3c506245f8dc1c83a1bb3ff1d8397c3fc4c0fff8;7565;0xd338154fa835a5382818eacef98f2051bd442879c556754630b63425aa1cdeee;0x4e7ecb1305fa91a82d39c6d3142b4ab277932412;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xa5946a2c7a6c4232224b89a696ae51879bf5aed1;98.745453;Axie Infinity Shard;AXS;18;92;41434;52187256700;34529;7756639;deprecated;9763
17275821;2023-05-17 00:30:11;0x65ce3bc046e084719874f1d36782fe147d61ced41a1aa0b67d3a09b714ca3bce;143;0xd251c8871b6c246795ae566d9a4dc462e13b81ab6842240c4b3452b6e3a48b2b;0x0ee6fe441809434cc8b08d197467d2194c75856d;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x28c6c06298d514db089934071355e5743bf21d60;1932.0231707364885;Axie Infinity Shard;AXS;18;110;69082;38216494060;29741;13548229;deprecated;9744
17275821;2023-05-17 00:30:11;0x8fb071b7f5baa01f66fd0a5da09e76e4ecd090777246485eb5090d1b5b4401a9;1906;0xd251c8871b6c246795ae566d9a4dc462e13b81ab6842240c4b3452b6e3a48b2b;0xa0d8317e15c166405b5d9f90bf82c7cca062d87f;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x28c6c06298d514db089934071355e5743bf21d60;2403.83;Axie Infinity Shard;AXS;18;136;69034;38216494060;29717;14711732;deprecated;9744
17275876;2023-05-17 00:41:35;0xaafb3711c19ac3408f25c76c62fad38f82f9e3cab900ed0b5bdf9d005025bff3;1686318;0xaee5c90e943f3b201831f8f0d47857f560ca7cd1c5c79b5288cba7fe79e24cbc;0xf60c2ea62edbfe808163751dd0d8693dcb30019c;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x9e404c5ca12780c553ece93008e0138960e6c9cb;29.89865152;Axie Infinity Shard;AXS;18;70;207128;40597846611;34517;16504962;deprecated;9689
17275935;2023-05-17 00:53:35;0x5128fa10888070b8c81cd635e78376a0447daf7d65ac5c08c7116ac25e14ca2a;6461194;0xb7d06e8436c6281e0f602345acc297bf42bbc9eddcf2d2f416cd69aaa28d6f8f;0x21a31ee1afc51d94c2efccaa2092ad1028285549;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x2a7f493caa0846a421c0065e0901dfb2da676f3c;3517.5299999999997;Axie Infinity Shard;AXS;18;21;207128;42772402073;51617;1563030;deprecated;9630
